,alpha,beta,l1,l2,cum_gain
386,0.1,1.5,1.5,0.5,0.24383800684630988
387,0.1,1.5,1.5,1.0,0.2557154890393695
388,0.1,1.5,1.5,1.5,0.24950487924899892
389,0.1,1.5,1.5,2.0,0.27738362776314873
390,0.1,1.5,2.0,0.05,0.25232426421756043
391,0.1,1.5,2.0,0.1,0.26849264984005367
392,0.1,1.5,2.0,0.5,0.26434276465061585
393,0.1,1.5,2.0,1.0,0.2356113602335916
394,0.1,1.5,2.0,1.5,0.25185220401331054
395,0.1,1.5,2.0,2.0,0.28694911862472794
396,0.1,2.0,0.05,0.05,0.4239301709588117
397,0.1,2.0,0.05,0.1,0.4239301709588117
398,0.1,2.0,0.05,0.5,0.37281623596445246
399,0.1,2.0,0.05,1.0,0.31374382001692913
400,0.1,2.0,0.05,1.5,0.22202301258978277
401,0.1,2.0,0.05,2.0,0.13778211739074794
402,0.1,2.0,0.1,0.05,0.4239301709588117
403,0.1,2.0,0.1,0.1,0.4239301709588117
404,0.1,2.0,0.1,0.5,0.37281623596445246
405,0.1,2.0,0.1,1.0,0.31374382001692913
406,0.1,2.0,0.1,1.5,0.2256944486558015
407,0.1,2.0,0.1,2.0,0.13778211739074794
408,0.1,2.0,0.5,0.05,0.22611099913296842
409,0.1,2.0,0.5,0.1,0.3082410384726745
410,0.1,2.0,0.5,0.5,0.2371826433389335
411,0.1,2.0,0.5,1.0,0.18485170591581704
412,0.1,2.0,0.5,1.5,0.17414482579540735
413,0.1,2.0,0.5,2.0,0.07623051825314313
414,0.1,2.0,1.0,0.05,0.2815435953220405
415,0.1,2.0,1.0,0.1,0.3110433912603649
416,0.1,2.0,1.0,0.5,0.31013568710427064
417,0.1,2.0,1.0,1.0,0.40026660077338444
418,0.1,2.0,1.0,1.5,0.28742646617287076
419,0.1,2.0,1.0,2.0,0.29538898079848086
420,0.1,2.0,1.5,0.05,0.30876126953763605
421,0.1,2.0,1.5,0.1,0.2844921165051975
422,0.1,2.0,1.5,0.5,0.37188461692765107
423,0.1,2.0,1.5,1.0,0.3225452879611704
424,0.1,2.0,1.5,1.5,0.3286150680373068
425,0.1,2.0,1.5,2.0,0.3385344643432259
426,0.1,2.0,2.0,0.05,0.3610412643794845
427,0.1,2.0,2.0,0.1,0.3610412643794845
428,0.1,2.0,2.0,0.5,0.3610412643794845
429,0.1,2.0,2.0,1.0,0.40920847144060435
430,0.1,2.0,2.0,1.5,0.3849002012823006
431,0.1,2.0,2.0,2.0,0.3839530630340146
432,1.0,0.05,0.05,0.05,1.0484918942148853
433,1.0,0.05,0.05,0.1,0.6732526261770039
434,1.0,0.05,0.05,0.5,0.8784468920898587
435,1.0,0.05,0.05,1.0,0.40341580952718686
436,1.0,0.05,0.05,1.5,0.6713419466623098
437,1.0,0.05,0.05,2.0,1.4376832241150754
438,1.0,0.05,0.1,0.05,0.39960667774581055
439,1.0,0.05,0.1,0.1,0.5137707340294136
440,1.0,0.05,0.1,0.5,0.5964995075725622
441,1.0,0.05,0.1,1.0,0.39678793742046886
442,1.0,0.05,0.1,1.5,0.699000724648171
443,1.0,0.05,0.1,2.0,1.2368326765552082
444,1.0,0.05,0.5,0.05,1.2113322867595002
445,1.0,0.05,0.5,0.1,1.2959374700705522
446,1.0,0.05,0.5,0.5,1.116162457226367
447,1.0,0.05,0.5,1.0,0.8066590752898831
448,1.0,0.05,0.5,1.5,1.3263869698126485
