,DAY_NO,FTRL_OPG_CUMILATIVE_GAIN,FTRL_RDA_CUMILATIVE_GAIN,FTL_CUMILATIVE_GAIN,FTRL_EXP_RDA_CUMILATIVE_GAIN,FTRL_MOVING_RDA_CUMILATIVE_GAIN,SGD_CUMILATIVE_GAIN
159,160,-0.2219296073303351,-0.04857767520863855,-0.14871005310262175,0.20262162080343893,0.19474057460145325,0.32651330977370996
160,161,-0.2168023260247992,-0.045601158438341546,-0.1324235948677142,0.20903047569714217,0.2011074308476639,0.3220101915638151
161,162,-0.22554052246253178,0.008826576789946443,-0.11198489604321403,0.2503675897615292,0.24217365363572363,0.31612708551540386
162,163,-0.22473324838463887,0.0018105015456748356,-0.1283519803089874,0.248124490548733,0.23994525394954985,0.32605936640577693
163,164,-0.241522367382979,0.0015978932049393782,-0.12153908070082067,0.2527709103466678,0.24456122472805253,0.307701896606568
164,165,-0.23914418158594308,0.006913101723326873,-0.11480680712351975,0.2606217575914546,0.2523606236296609,0.31058897642662153
165,166,-0.23797690690574666,0.007550926745533396,-0.09247339657367144,0.2580582156339731,0.2498138811311764,0.29884092206451635
166,167,-0.23330780818496075,0.00712571006406233,-0.10085850378372287,0.23851120820817778,0.2303949695802335,0.31046187228360045
167,168,-0.2399078192271932,0.0018105015456748358,-0.10009255649049703,0.23979297918691844,0.23166834082947566,0.3023635225996763
168,169,-0.2317805329024606,0.00797614342700431,-0.1148874331543857,0.2115940176546237,0.20365417334614838,0.331016427983605
169,170,-0.22725325260076396,-0.0035047069727126585,-0.11730621408036203,0.20999180393119773,0.20206245928459554,0.3402223994852856
170,171,-0.22009687699133507,0.002873543249352425,-0.1171852750340632,0.22184818548454913,0.21384114334008564,0.3380979445233592
171,172,-0.22300960913724588,0.0030861515900878823,-0.11037237542589648,0.2215277427398638,0.21352280052777495,0.3574722474667382
172,173,-0.23392688330632502,-0.00010297352094458377,-0.06336739943108932,0.23498633801664098,0.22689319864481766,0.35974196430640304
173,174,-0.2374774926685516,-0.006481223743009667,-0.05054786052341461,0.2103122466758831,0.20238080209690626,0.3590338126524277
174,175,-0.22815051882150844,-0.015198165713165086,-0.07538067803010519,0.20582604825029074,0.1979240027245587,0.35142572180587106
175,176,-0.231012203979124,-0.0015912319060930893,-0.11799153534272205,0.23082058233573374,0.22275474208478058,0.33615506690860614
176,177,-0.2297509427429897,-0.007331657105951649,-0.12170033276255242,0.22825704037825245,0.22020799958629633,0.3256235807725612
177,178,-0.232919994084201,-0.0041425319949190305,-0.13343142025353774,0.25068803250621435,0.24249199644803418,0.32749382744844513
178,179,-0.22984633224824363,-0.013497298987281123,-0.12238565402491247,0.22024597176112323,0.21224942927853285,0.3489925853537502
179,180,-0.2287758500226171,-0.011371215579926095,-0.1214584546699548,0.2397929791869185,0.23166834082947574,0.3482481182303402
180,181,-0.23909911425786717,-0.007544265446687105,-0.13137545646645787,0.23883165095286296,0.23071331239254408,0.3313069517390821
181,182,-0.24192900291373134,-0.013072082305810057,-0.11432305093832461,0.22793659763356736,0.2198896567739859,0.3289282884911132
182,183,-0.23762587634339102,0.008613968449210835,-0.11468586807722096,0.24716316231467755,0.23899022551261828,0.33141589814738587
183,184,-0.24296768863760662,-0.03667160812745052,-0.20720423849581662,0.18499726984575462,0.17723171992437353,0.3294911782673502
184,185,-0.2395230676145509,-0.06792503421556896,-0.20825237689707302,0.15840052203688565,0.15080926650259885,0.31507393690179913
185,186,-0.25130897093036,-0.04857767520863855,-0.22135410691277826,0.1914061247394581,0.18359857617058442,0.27875846746716193
186,187,-0.24323265948553394,-0.03326987467568259,-0.19958507857899105,0.21832331529301238,0.2103393724046698,0.28217212159401783
187,188,-0.24297472923995977,-0.019237724187139527,-0.1865236615787188,0.2699145971873246,0.26159256518666657,0.29309283051611207
188,189,-0.24194300825766332,-0.01796207414272663,-0.15266072861504978,0.2692737116979541,0.26095587956204536,0.28823918210629246
189,190,-0.2471016131691457,-0.031143791268327562,-0.14423530838956547,0.2865776199109532,0.27814639142681447,0.29565447828796126
190,191,-0.24035084307551913,-0.03305726633494713,-0.1272232158768651,0.2981135587196193,0.2896067326699938,0.2592521152143142
191,192,-0.2406033020841348,-0.028167274498030546,-0.13738209576596583,0.2942682457833974,0.2857866189222674,0.24091611011055114
192,193,-0.22772789264473678,-0.0013786235653576169,-0.1355276970560506,0.3231080928050626,0.31443747203021594,0.2618137629861634
193,194,-0.21232789311918232,0.003936584953029878,-0.1294807447411097,0.3522683825714131,0.3434066679504751,0.27273447190825756
194,195,-0.22772789264473675,0.00946440181215283,-0.1260944514447428,0.36700874882693063,0.3580504373167597,0.28891329994098947
195,196,-0.23768451850140324,0.01244091858244984,-0.09384403909839138,0.34938439786924647,0.34054158263968015,0.2928231833822332
196,197,-0.24239128708819102,0.01711830207863096,-0.09436810829901958,0.34105288650743215,0.3322646695196062,0.28068906235768404
197,198,-0.23605525245213047,0.018393952123043858,-0.10291446757080272,0.35226838257141313,0.34340666795047514,0.28796953497241357
198,199,-0.2371414298183123,0.028386544137612324,-0.10694576911409664,0.350345726103302,0.34149661107661183,0.29349730121693035
199,200,-0.2483652626021909,0.02009481884892782,-0.11150113985801877,0.33047827593282164,0.3217593567133585,0.30347424517044863
200,201,-0.24033301731577672,0.02222090225628285,-0.08791802582974932,0.32599207750722925,0.31730255734101087,0.3075189521786316
201,202,-0.24594651872673362,0.016055260374953376,-0.09190901435761034,0.3224672073156924,0.31380078640559494,0.3134511891239667
202,203,-0.2515700982371717,0.02796132745614141,-0.07941197957339909,0.3279147339753401,0.3192126142148739,0.3060358929422978
203,204,-0.2567105816180448,0.03008741086349644,-0.11109800970368941,0.3586772374651163,0.34977352419668567,0.3319220177946692
204,205,-0.27143612669919664,0.05666345345543391,-0.10396260597205911,0.33176004691156225,0.3230327279626005,0.3317871942277297
205,206,-0.25766050986090927,0.059639970225730914,-0.0727603320269642,0.3102903830176559,0.3017037595377944,0.34594366875637017
206,207,-0.2586105524014808,0.08621601281766839,-0.07477598279861117,0.29042293284717546,0.281966505174541,0.34648296302412795
207,208,-0.25682922263790914,0.08600340447693278,-0.0788879103727709,0.2868980626556384,0.2784647342391249,0.3476963751265827
208,209,-0.27707122824699326,0.08855470456575888,-0.07034155110098776,0.284014077953472,0.27559964892833017,0.3405507260787929
209,210,-0.27707122824699326,0.07919993757339679,-0.05349071065001924,0.27375991012354656,0.2654126789343929,0.3301693114244563
